exp	sub	code	rev	comp	runtime	trialtime	nstim	refreshdur	cuedur	gapdur	gapOnsetRange	durPostProbe	gapOnsetTime	blocktype	prac	trial	ntargets	soa	probeTarget	resp	acc	rt	pts	tpts	meanFrameDur	minFrameDur	maxFrameDur
ProbeTrack12	2	ProbeTrack	11.3	WolfelabSpurzheim	20101013.151157	20101013.151236	8	0.011765	60	0	60-180	60	87	NoGap	1	1	2	1	1	target	1	1555	223	223	11.976	11.754	35.288
ProbeTrack12	2	ProbeTrack	11.3	WolfelabSpurzheim	20101013.151157	20101013.151246	8	0.011765	60	0	60-180	60	81	NoGap	1	2	2	0	1	target	1	520	740	963	11.765	11.756	11.776
ProbeTrack12	2	ProbeTrack	11.3	WolfelabSpurzheim	20101013.151157	20101013.151255	8	0.011765	60	0	60-180	60	127	NoGap	1	3	2	0	0	distractor	1	473	764	1727	11.765	11.754	11.776
ProbeTrack12	2	ProbeTrack	11.3	WolfelabSpurzheim	20101013.151157	20101013.151302	8	0.011765	60	0	60-180	60	164	NoGap	1	4	2	45	0	target	0	520	-1000	727	11.801	11.754	23.521
ProbeTrack12	2	ProbeTrack	11.3	WolfelabSpurzheim	20101013.151157	20101013.151310	8	0.011765	60	0	60-180	60	94	NoGap	1	5	2	45	1	target	1	390	805	1532	11.765	11.713	11.820
ProbeTrack12	2	ProbeTrack	11.3	WolfelabSpurzheim	20101013.151157	20101013.151320	8	0.011765	60	0	60-180	60	179	NoGap	1	6	2	3	0	target	0	767	-1000	532	11.765	11.753	11.779
ProbeTrack12	2	ProbeTrack	11.3	WolfelabSpurzheim	20101013.151157	20101013.151328	8	0.011765	60	0	60-180	60	126	NoGap	1	7	2	1	1	target	1	438	781	1313	11.765	11.755	11.776
ProbeTrack12	2	ProbeTrack	11.3	WolfelabSpurzheim	20101013.151157	20101013.151333	8	0.011765	60	0	60-180	60	89	NoGap	1	8	2	45	1	target	1	484	758	2071	11.765	11.755	11.775
ProbeTrack12	2	ProbeTrack	11.3	WolfelabSpurzheim	20101013.151157	20101013.151339	8	0.011765	60	0	60-180	60	156	NoGap	1	9	2	3	0	target	0	473	-1000	1071	11.765	11.754	11.777
ProbeTrack12	2	ProbeTrack	11.3	WolfelabSpurzheim	20101013.151157	20101013.151345	8	0.011765	60	0	60-180	60	77	NoGap	1	10	2	1	1	target	1	449	776	1847	11.765	11.754	11.775
ProbeTrack12	2	ProbeTrack	11.3	WolfelabSpurzheim	20101013.151157	20101013.151353	8	0.011765	60	0	60-180	60	167	NoGap	1	11	2	45	0	distractor	1	473	764	2611	11.765	11.754	11.777
ProbeTrack12	2	ProbeTrack	11.3	WolfelabSpurzheim	20101013.151157	20101013.151401	8	0.011765	60	0	60-180	60	63	NoGap	1	12	2	45	0	distractor	1	473	764	3375	11.765	11.735	11.797
ProbeTrack12	2	ProbeTrack	11.3	WolfelabSpurzheim	20101013.151157	20101013.151407	8	0.011765	60	0	60-180	60	157	NoGap	1	13	2	0	1	target	1	367	817	4192	11.765	11.755	11.777
ProbeTrack12	2	ProbeTrack	11.3	WolfelabSpurzheim	20101013.151157	20101013.151413	8	0.011765	60	0	60-180	60	127	NoGap	1	14	2	3	0	distractor	1	685	658	4850	11.765	11.754	11.776
ProbeTrack12	2	ProbeTrack	11.3	WolfelabSpurzheim	20101013.151157	20101013.151420	8	0.011765	60	0	60-180	60	121	NoGap	1	15	2	3	0	distractor	1	473	764	5614	11.765	11.734	11.800
ProbeTrack12	2	ProbeTrack	11.3	WolfelabSpurzheim	20101013.151157	20101013.151426	8	0.011765	60	0	60-180	60	123	NoGap	1	16	2	0	1	target	1	284	858	6472	11.765	11.755	11.777
ProbeTrack12	2	ProbeTrack	11.3	WolfelabSpurzheim	20101013.151157	20101013.151431	8	0.011765	60	0	60-180	60	86	NoGap	1	17	2	0	0	distractor	1	673	664	7136	11.765	11.754	11.776
ProbeTrack12	2	ProbeTrack	11.3	WolfelabSpurzheim	20101013.151157	20101013.151437	8	0.011765	60	0	60-180	60	76	NoGap	1	18	2	1	0	distractor	1	485	758	7894	11.765	11.704	11.837
ProbeTrack12	2	ProbeTrack	11.3	WolfelabSpurzheim	20101013.151157	20101013.151442	8	0.011765	60	0	60-180	60	159	NoGap	1	19	2	1	0	distractor	1	555	723	8617	11.765	11.754	11.777
ProbeTrack12	2	ProbeTrack	11.3	WolfelabSpurzheim	20101013.151157	20101013.151448	8	0.011765	60	0	60-180	60	122	NoGap	1	20	2	45	0	distractor	1	614	693	9310	11.765	11.734	11.791
ProbeTrack12	2	ProbeTrack	11.3	WolfelabSpurzheim	20101013.151157	20101013.151455	8	0.011765	60	0	60-180	60	149	NoGap	1	21	2	45	1	target	1	367	817	10127	11.765	11.753	11.776
ProbeTrack12	2	ProbeTrack	11.3	WolfelabSpurzheim	20101013.151157	20101013.151501	8	0.011765	60	0	60-180	60	91	NoGap	1	22	2	0	1	target	1	473	764	10891	11.765	11.754	11.776
ProbeTrack12	2	ProbeTrack	11.3	WolfelabSpurzheim	20101013.151157	20101013.151506	8	0.011765	60	0	60-180	60	105	NoGap	1	23	2	45	0	target	0	520	-1000	9891	11.765	11.754	11.777
ProbeTrack12	2	ProbeTrack	11.3	WolfelabSpurzheim	20101013.151157	20101013.151513	8	0.011765	60	0	60-180	60	84	NoGap	1	24	2	0	0	distractor	1	684	658	10549	11.765	11.753	11.776
ProbeTrack12	2	ProbeTrack	11.3	WolfelabSpurzheim	20101013.151157	20101013.151521	8	0.011765	60	0	60-180	60	77	NoGap	1	25	2	3	1	distractor	0	590	-1000	9549	11.765	11.755	11.777
ProbeTrack12	2	ProbeTrack	11.3	WolfelabSpurzheim	20101013.151157	20101013.151527	8	0.011765	60	0	60-180	60	159	NoGap	1	26	2	3	1	target	1	473	764	10313	11.765	11.755	11.777
ProbeTrack12	2	ProbeTrack	11.3	WolfelabSpurzheim	20101013.151157	20101013.151533	8	0.011765	60	0	60-180	60	180	NoGap	1	27	2	0	0	distractor	1	508	746	11059	11.765	11.754	11.777
ProbeTrack12	2	ProbeTrack	11.3	WolfelabSpurzheim	20101013.151157	20101013.151540	8	0.011765	60	0	60-180	60	170	NoGap	1	28	2	1	0	distractor	1	661	670	11729	11.765	11.753	11.777
ProbeTrack12	2	ProbeTrack	11.3	WolfelabSpurzheim	20101013.151157	20101013.151547	8	0.011765	60	0	60-180	60	94	NoGap	1	29	2	1	1	target	1	579	711	12440	11.765	11.754	11.777
